序号,地区,x1,x2,x3,x4,x5,x6,x7,x8,Group
1, 上  海,4629.16,704.43,1827.63,646.13,1704.83,952.1,1028.96,253.39,1
2, 北  京,3898.95,947.97,2196.37,773.54,1398.8,1152.67,1125.25,334.49,1
3, 广  东,3155.91,319.41,1107.61,378.45,760.07,466.63,446.46,232.66,1
4, 浙  江,3796.89,750.69,1936.64,602.54,1499.95,902.23,746.05,251.04,1
5, 江  苏,2723.01,610.7,1477.81,532.76,1311.05,1184.18,724.23,232.74,1
6, 安  徽,1836.79,331.77,1081.74,346.9,516.6,385.92,510.06,144,2
7, 天  津,2988.83,780.72,1263.51,451.3,1066.27,766.08,760.41,228.4,2
8, 江  西,1580.03,264.88,1009.66,278.31,494.46,342.7,380.45,105.59,2
9, 山  东,2059.81,454.4,1399.9,405.63,937.55,500.98,635.34,120.2,2
10, 湖  北,1532.06,315.21,1173.49,397.63,496.1,394.63,591.87,169.68,2
11, 湖  南,1748.29,317.87,1069.13,372.96,481.58,400.22,497.24,136.56,2
12, 广  西,1373.88,156.47,1144.2,274.63,453.01,270.24,383.95,108.82,2
13, 海  南,2122.36,178.86,775.63,207.47,435.58,253.97,306.54,155.2,2
14, 重  庆,1564.04,380.13,550.18,413.52,489.31,394.23,482.24,85.85,2
15, 四  川,1653.61,338.52,769.18,333.2,463.94,329.29,498.29,101.9,2
16, 贵  州,1045.87,226.79,708.78,211.36,371.35,226.44,282.51,84.3,2
17, 云  南,1331.01,241.07,728.32,247,470.19,289.22,362.63,65.82,2
18, 西  藏,930.39,372.54,249.35,173.3,363.95,40.86,82.67,90.52,2
19, 河  北,1647.68,396.48,1115.19,349.84,604.33,358.49,543.75,156.73,3
20, 山  西,1657.57,501.74,1137.44,298.29,625.99,498.02,490.25,149.75,3
21, 内蒙古,1808.01,481.71,1000.88,268.1,912.25,513.97,588.87,157.42,3
22, 辽  宁,2019.41,517.86,928.39,250.52,668.71,556.56,548.77,176.23,3
23, 吉  林,1887.33,478.16,745.07,251.93,699.03,606.26,840.52,204.15,3
24, 黑龙江,1990.33,544.64,664.23,228.51,611.34,518.04,727.02,167.67,3
25, 河  南,1474.2,424.1,1035.81,361.58,525.11,343.83,468.81,146.21,3
26, 甘  肃,1210.04,303.1,663.71,250.43,436.03,327.3,398.01,100.41,3
27, 青  海,1300.42,403.52,1204.04,256.63,683.73,283.28,520.06,121.62,3
28, 宁  夏,1453.62,463.35,1033.17,304.95,620.79,373.36,492.14,172.21,3
29, 新  疆,1391.16,426.6,1289.31,215.09,646.42,261.74,444.18,110.21,3
1, 福  建,3030.19,471.44,1136.31,426.37,794.98,565.83,380.6,193.07,
2, 陕  西,1293.38,332.72,1253.98,298.69,503.34,445.47,619.94,136.37,
