id,degree,race
1,1,1
2,3,2
3,3,1
4,1,1
5,4,1
6,1,1
7,1,1
8,1,1
9,4,1
10,4,1
11,4,1
12,1,1
13,1,1
14,0,3
15,0,3
16,1,2
17,0,2
18,1,3
19,3,1
20,3,1
21,2,1
22,3,1
23,4,1
24,3,3
25,0,3
27,3,3
28,3,3
29,3,1
30,1,2
31,4,1
32,2,2
33,3,2
34,0,1
35,1,1
36,1,3
37,1,3
38,1,1
39,0,3
40,1,1
41,1,3
42,3,3
43,4,1
44,1,1
45,1,1
47,4,1
48,4,1
49,1,1
50,3,1
51,3,1
53,4,2
54,1,2
55,1,2
56,1,1
57,3,1
58,1,3
59,3,1
60,3,3
61,1,1
62,0,1
63,1,1
64,3,1
65,1,1
66,1,2
67,4,1
68,3,1
69,3,1
70,1,1
71,3,1
72,3,1
73,2,1
74,3,1
75,1,2
76,0,2
77,0,2
78,1,2
79,1,2
80,0,2
81,1,2
82,0,3
83,2,2
84,1,2
85,3,1
86,1,1
87,1,1
88,3,1
89,1,1
90,1,1
91,1,1
92,1,1
93,4,1
94,1,1
95,2,1
96,4,1
97,3,1
98,3,1
99,0,3
100,3,1
101,0,1
102,1,1
103,3,1
105,1,1
106,1,1
107,0,1
108,1,1
109,3,1
110,2,1
112,3,1
113,1,1
114,1,1
115,4,1
116,3,1
117,3,1
118,4,1
119,4,1
121,1,2
122,2,2
123,0,2
124,1,3
125,3,1
126,1,1
127,0,1
128,0,1
129,3,2
130,1,2
131,1,2
132,1,2
133,3,2
135,1,1
136,1,1
137,1,1
138,3,1
139,3,1
140,4,3
141,4,1
143,1,1
144,1,1
145,1,1
146,1,1
147,4,1
148,1,1
149,1,1
150,1,1
151,3,1
152,1,1
153,1,1
154,3,1
155,3,1
156,3,1
157,4,1
158,4,1
159,4,1
160,4,1
161,3,1
162,3,1
164,4,2
165,3,1
166,1,1
167,0,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,3,1
176,3,1
177,3,1
178,1,1
179,1,1
180,1,1
181,3,1
182,1,1
183,4,1
185,0,1
186,0,1
187,0,1
188,0,1
189,2,1
190,1,1
191,1,1
192,1,1
193,3,1
194,4,1
196,1,1
197,1,1
198,1,1
199,1,3
200,1,1
201,4,1
202,1,1
203,4,2
204,3,1
205,2,2
206,4,1
207,0,1
208,2,1
209,3,2
210,4,1
212,1,1
213,1,1
214,3,1
215,1,1
216,1,1
217,0,1
218,0,1
219,4,1
220,1,1
221,0,1
222,1,1
223,4,1
225,1,2
226,0,2
227,1,2
228,1,1
229,1,1
230,1,1
231,1,1
232,1,1
233,3,3
235,1,1
236,0,3
237,1,1
238,1,3
239,3,1
240,1,1
241,3,1
242,1,1
243,2,1
244,4,1
245,0,1
246,2,1
247,3,1
248,1,1
249,3,1
250,2,1
251,3,1
252,3,1
253,1,1
254,0,2
255,0,3
256,1,3
257,1,2
258,1,3
259,3,1
260,3,1
261,1,1
262,1,1
263,3,1
264,1,1
265,1,1
266,4,1
267,0,2
268,0,2
269,1,1
270,1,1
271,1,1
272,1,3
274,0,1
275,0,1
276,1,1
277,1,1
278,1,1
279,0,1
280,1,2
281,1,1
282,1,2
283,1,2
284,1,2
285,1,1
286,3,1
287,2,1
288,1,1
289,3,3
290,3,1
291,1,1
292,1,1
293,1,1
294,1,1
295,0,1
296,1,1
297,1,1
298,1,1
299,3,1
300,4,1
301,1,1
302,4,1
303,2,1
304,3,1
305,3,1
306,2,1
307,1,1
308,1,1
309,4,1
310,1,1
311,1,1
312,1,1
313,1,1
315,1,1
316,1,1
317,1,1
318,1,1
319,1,1
321,3,1
322,3,1
323,0,1
324,4,1
325,1,1
326,1,1
327,1,1
328,1,1
329,1,1
330,2,1
331,1,1
332,1,1
333,3,1
334,1,1
335,1,1
336,1,1
337,3,1
338,1,1
339,0,1
340,2,1
341,1,1
342,1,1
343,1,1
344,2,1
345,1,1
346,1,1
347,1,1
348,0,1
349,1,1
350,1,1
351,1,1
352,0,1
353,3,1
354,1,1
355,1,1
356,1,1
357,0,1
358,1,1
359,1,1
360,1,2
361,0,3
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
367,1,2
368,0,1
370,1,1
371,1,2
372,1,1
373,1,1
374,1,1
375,1,3
376,1,1
378,1,1
379,1,1
380,0,1
381,0,1
382,2,1
383,3,1
385,0,1
386,1,1
387,0,2
388,0,2
389,1,2
391,1,1
392,2,2
393,4,2
394,1,2
395,0,2
396,0,2
397,1,2
399,1,1
400,3,1
401,1,1
402,1,1
403,1,1
404,1,1
405,1,1
406,0,1
407,0,2
408,1,2
410,1,1
411,2,1
412,3,1
413,1,1
414,2,1
415,3,1
416,2,1
417,1,1
418,0,2
419,1,2
420,1,1
422,1,1
423,1,1
424,1,1
425,0,1
426,2,1
427,2,1
428,1,1
429,1,3
430,0,3
431,3,1
432,1,3
434,4,1
435,3,1
436,1,1
437,2,1
438,1,1
439,1,1
441,0,1
442,0,1
443,1,1
444,1,1
445,1,1
446,0,1
447,0,1
448,0,1
449,0,1
450,1,1
451,1,1
452,1,1
453,1,1
454,1,1
455,3,1
456,3,1
457,1,1
458,0,1
459,3,1
460,3,1
461,2,1
462,1,1
463,0,1
464,3,1
465,0,1
466,0,1
467,1,1
468,1,1
469,1,1
470,0,1
471,1,1
472,1,1
475,2,1
476,1,1
477,3,3
478,4,1
479,3,1
480,1,3
481,1,1
482,4,1
483,4,1
484,3,1
485,1,1
486,1,1
487,1,1
488,1,1
490,4,1
491,3,1
492,3,1
493,1,1
494,3,3
495,0,1
496,1,2
497,0,1
498,1,1
499,1,1
500,1,1
501,0,1
502,1,1
504,3,1
505,4,1
507,1,1
508,2,1
509,1,1
510,1,1
511,1,1
512,1,1
513,1,1
515,1,1
516,0,1
517,2,1
518,1,1
519,2,2
520,1,2
522,1,2
523,1,2
524,1,2
525,3,1
526,1,1
527,3,1
528,1,1
529,1,1
530,1,1
531,1,1
532,4,1
533,4,1
534,1,1
536,1,1
537,0,1
540,3,1
542,4,3
543,1,1
544,1,1
545,1,1
546,4,1
547,1,1
549,1,1
550,4,1
551,1,1
552,1,1
553,2,1
554,0,1
555,2,1
557,1,1
558,1,1
559,0,1
560,1,1
561,1,1
562,1,1
563,1,1
564,1,1
565,2,1
566,3,1
567,0,1
568,0,1
569,1,1
570,1,1
571,3,1
572,1,1
573,2,1
574,0,1
575,1,1
577,1,1
578,1,1
579,1,1
580,0,1
581,0,1
582,1,1
583,1,1
585,2,1
586,2,1
587,0,1
588,0,1
589,1,1
590,0,1
591,0,1
592,0,1
593,1,1
594,1,1
595,0,1
596,1,1
597,1,1
599,1,1
600,1,1
601,1,1
602,1,1
603,2,1
604,1,1
605,0,1
606,3,1
607,1,1
608,1,1
609,1,1
610,1,1
611,3,1
612,1,1
613,3,1
614,1,1
615,1,1
616,0,1
617,1,1
619,1,1
620,0,1
621,0,1
622,1,1
624,0,1
625,1,1
626,0,1
627,1,1
628,0,1
629,1,1
630,3,1
631,1,1
632,0,1
633,0,1
634,1,1
635,0,1
636,2,1
637,0,1
638,0,1
640,3,1
641,1,1
642,1,1
643,1,1
644,1,1
645,3,1
646,1,1
647,1,1
648,1,1
649,0,1
650,1,1
651,2,1
652,3,1
653,1,1
654,1,1
655,1,1
656,0,1
657,1,1
658,3,1
660,0,1
662,1,1
664,1,1
665,1,1
666,1,1
667,1,1
668,1,2
669,1,1
670,2,2
671,0,1
672,0,1
673,0,2
674,0,1
675,0,1
676,0,1
677,1,1
678,1,1
679,0,1
680,1,2
681,0,2
683,0,1
684,1,1
685,0,1
686,0,1
687,0,2
688,0,2
689,0,2
690,1,1
691,0,1
692,4,1
693,3,1
694,2,1
695,1,1
696,1,1
697,3,1
698,1,2
699,1,1
700,0,1
701,2,1
702,1,1
703,2,1
704,1,1
705,0,1
706,0,1
707,0,1
708,1,1
709,0,1
710,1,1
711,2,1
712,1,2
713,0,1
714,0,1
715,0,1
716,1,1
717,4,1
718,3,1
719,2,1
720,3,1
721,1,1
722,0,1
723,0,1
724,1,1
725,0,1
726,3,1
727,1,1
728,3,1
729,3,1
730,1,1
731,3,1
732,0,1
733,0,1
734,1,1
735,0,3
736,1,3
737,1,2
738,0,3
739,1,3
740,0,1
741,1,1
742,1,3
743,1,1
745,2,2
746,0,1
747,0,1
748,4,3
749,0,3
750,1,3
751,1,3
