Äê·Ý,x1,x2,x3,x4,x5,x6,y1,y2,y3,y4
1978,100.3,30476.5,101.3,133.6,79014,15.34,16110,30129,975.3,246.28
1979,124.77,33211.5,105.05,160.2,79047,19.32,18768,31971,1001.35,242.21
1980,127.77,32055.5,108.72,191.3,79565,22.31,19861,30543,1134.1,246.28
1981,128.02,32502,112.97,223.4,79901,22.15,19495,29370,1188.42,257.42
1982,128.15,35450,113.19,270.1,80174,23.51,20063,30078,1271.8,264.96
1983,127.77,38727.5,113.08,309.8,80734,24.69,20661,29854,1316.1,262.06
1984,130.45,40730.5,112.85,355.3,80340,26.03,22047,30679,1444.7,249.24
1985,157.97,37910.8,125.15,397.6,80757,27.98,23875.2,33139.6,1654.7,296
1986,164.93,39151.2,136.79,423.8,81141,28.82,25721.5,33719.1,1796,310
1987,195.6,40473.3,145.27,462.6,81626,29,26177,32773.3,1834.9,302
1988,294.58,39408,165.76,544.9,82365,29.82,27570.3,34221.8,2017.6,303
1989,325.51,40754.9,201.06,601.5,83164,31.12,29023.3,35281,2122.8,297
1990,302.4,44624.3,191.41,686.31,84138,29,30991,36240.8,2281.1,300
1991,292.11,43529.3,207.87,708.6,84620,34.88,32897,36965,2452.3,285
1992,310.52,44265.8,258.39,784,84996,36.44,35170,38421,2635.3,290
1993,355.54,45648.8,329.96,921.6,85344,28.3,37823.8,39300.1,2854.4,272
1994,549.67,44510.1,490.65,1221,85681,27.32,42103.2,41461.5,3204.8,270
1995,637.62,46661.8,659.43,1577.74,85947,27.82,48051,44169.2,3648.4,253
1996,651.64,50453.5,708.89,1926.1,85085,28.87,41225.2,36283.6,3158,240
1997,717.46,49417.1,652.89,2090.1,84177,26.84,46483.7,40034.8,3596.3,227
1998,594.77,51229.5,632.65,2162,83153,27.78,50215.1,42256.3,3883.7,219
1999,506.75,50838.6,609.87,2210.3,82038,29.61,51977.2,43144.2,4005.6,196
2000,507.76,46217.5,549.49,2253.42,80837,30.01,51862.3,41633.6,3966,203
2001,522.49,45263.7,557.74,2366.4,79563,29.3,53281.1,41950.5,4051.7,196
2002,512.04,45705.8,549.93,2475.6,78241,33.98,54143.9,41776.2,4123.1,188
2003,526.89,43069.5,562.03,2622.2,76851,34.21,55701.8,41381.8,4238.6,188
2004,594.54,46946.9,710.96,2936.4,75705,32.66,57278.5,42123.4,4341,197
2005,580.15,48402.2,720.92,3254.93,74544,35.82,60367.4,43319.1,4555.3,176
2006,525.56,49804.2,738.94,3587.04,73742,35.46,61207.3,41850.4,4650.5,172
2007,766.53,50160.3,786.23,4140.36,72750,31.58,56508.3,43989.5,4287.8,161
